cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,concrete_compressive_strength
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28,30.12
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,24.0
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,33.27
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90,69.66
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14,24.43
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,56,46.64
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28,27.94
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28,32.4
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360,33.7
387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,34.77
152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,24.05
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,33.56
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,52.61
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28,74.99
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
