Variable,Contribution,Lower_CI,Upper_CI
mud_content_pct,2.397988106438767,2.371961591283854,2.437530814775389
concrete_strength_mpa,-2.3412385039688814,-2.4790395912154506,-2.2711522477985744
water_binder_ratio,1.633980506915418,1.589135452502374,1.6643717808181209
clay_lump_pct,-0.8035508282325869,-0.8535479804130746,-0.7467104146025046
ambient_humidity_pct,0.12416342888691197,0.058359157558543644,0.17305155381724358
mix_design_accuracy_pct,0.09271513706963229,0.01655577644128091,0.14420333200406424
fly_ash_content,0.07346608790038854,-0.014076898140548855,0.15394451940206474
crushing_value_pct,-0.05923438701173865,-0.09224676028580601,-0.018495769676816178
slag_powder_content,0.056169730360091444,0.01758948665688166,0.13731556898353264
mix_ratio,0.046791791648668396,-0.048442862293923215,0.13788812196961842
sand_pct,0.04057073946184157,-0.042756126239301626,0.12201937970089274
production_process,0.03659378506670826,-0.04932876571079935,0.11195691491468066
total_binder,0.02341190228864071,-0.06101889876416144,0.08628534546458416
sand_rate,0.021882260724438544,-0.056576784500777716,0.06400045018818164
origin,0.01947711834548172,-0.03717541614791391,0.05731221729121362
flaky_particle_pct,-0.017096505275979473,-0.07397108265641936,0.049204486715297736
coarse_aggregate_pct,0.012823049479456308,-0.037797622376715995,0.04983095242691106
cement_content,-0.008328593273444916,-0.09607427481735406,0.16799665824050758
material_density,-0.006398646720449449,-0.07495752663491397,0.0502544823585391
particle_shape_index,-0.004494141136839099,-0.02062871054819273,0.014511959331193543
aggregate_type,-0.0033635881694397103,-0.04236853338263977,0.05621476843359407
