Variable,Causal_Effect,Lower_CI,Upper_CI,Abs_Effect,Weight_Percent
water_binder_ratio,-10.49097236411232,-10.615250782051067,-10.19609777459959,10.49097236411232,47.58923784462056
age,2.8035306348975335,2.7184932923051135,2.968469803514794,2.8035306348975335,12.71739945147666
mineral_admixture_ratio,-1.938406971656368,-2.05747064658675,-1.8772437374872877,1.938406971656368,8.793018150480178
superplasticizer,1.6566914029538116,1.567614648345892,1.823745283115325,1.6566914029538116,7.5150975976265535
water,-1.2482009614556517,-1.3209699028356021,-1.1231761905534459,1.2482009614556517,5.662099791225902
cement,1.0789092192190617,0.9941422018323657,1.16672515213719,1.0789092192190617,4.8941571538029915
sand_rate,-1.0053027615412007,-1.081676659832788,-0.9400371285142526,1.0053027615412007,4.5602629159996
total_binder,0.7056929650397641,0.6594127161660811,0.7733511814865949,0.7056929650397641,3.2011704151881495
blast_furnace_slag,0.6418257432618428,0.5536735693879233,0.6902636307766684,0.6418257432618428,2.9114553819027864
fly_ash,0.4610653933820151,0.39054752444288604,0.5683999468929717,0.4610653933820151,2.0914887491877243
coarse_aggregate,-0.00741015119740978,-0.10175135508752149,0.04264004341953796,0.00741015119740978,0.03361399073020743
fine_aggregate,0.00683358312725385,-0.056175273432872416,0.04891000660592334,0.00683358312725385,0.030998557758700782
