Variable,Causal_Effect,Lower_CI,Upper_CI
material_density,56.600373328727365,56.44866108657445,56.727704684133805
particle_shape_index,15.299892508203216,15.191043286661198,15.353174645951118
sand_rate,7.500484625060827,7.391259524440456,7.58058177625978
mix_design_accuracy_pct,0.3125034208971623,0.232177677479249,0.38902769397288856
cement_content,0.012119126903798754,-0.05646836875007459,0.10829066641188237
fly_ash_content,0.006507720965332808,-0.09939026498900601,0.1038988743792487
slag_powder_content,0.005073504096911853,-0.10384982792412811,0.16002054222997167
water_content,0.0,,
admixture_content,0.0,,
ambient_humidity_pct,-0.042996115304775276,-0.15247505445118634,0.08463293516346157
coarse_aggregate_pct,-0.07386546060170104,-0.16205938880137116,0.04211569155515849
crushing_value_pct,-0.5213288269950371,-0.6249354489356655,-0.4026403141109764
flaky_particle_pct,-0.8330435366808875,-0.929492048252121,-0.7135717513792035
mud_content_pct,-4.259829374027082,-4.3703290410527105,-4.176490745561288
clay_lump_pct,-5.920490462481107,-6.030984299734177,-5.861595593601342
water_binder_ratio,-79.89137975694923,-79.95968262763672,-79.81172078719858
